Date,AAPL,MSFT,SPY,TSLA
2022-07-12,143.9031982421875,248.84280395507812,367.1763000488281,233.07000732421875
2022-07-13,143.5381317138672,247.910888671875,365.24798583984375,237.0399932861328
2022-07-14,146.4781494140625,249.2449951171875,364.3609924316406,238.31333923339844
2022-07-15,148.15536499023438,251.83474731445312,371.3221435546875,240.06666564941406
2022-07-18,145.09695434570312,249.41175842285156,368.25616455078125,240.54666137695312
2022-07-19,148.97422790527344,254.59124755859375,378.2061462402344,245.52999877929688
2022-07-20,150.98683166503906,257.2791442871094,380.6164855957031,247.5
2022-07-21,153.26585388183594,259.80023193359375,384.492431640625,271.7066650390625
2022-07-22,152.0227508544922,255.40548706054688,380.925048828125,272.24334716796875
2022-07-25,150.89804077148438,253.9045867919922,381.3878479003906,268.4333190917969
2022-07-26,149.56617736816406,247.1064910888672,376.87567138671875,258.8599853515625
2022-07-27,154.68653869628906,263.62603759765625,386.6617431640625,274.82000732421875
2022-07-28,155.23904418945312,271.1501159667969,391.5113830566406,280.8999938964844
2022-07-29,160.3297882080078,275.397705078125,397.2191467285156,297.1499938964844
2022-08-01,159.34320068359375,272.7196350097656,396.0428771972656,297.27667236328125
2022-08-02,157.8633270263672,269.5903625488281,393.42999267578125,300.586669921875
2022-08-03,163.90122985839844,277.0947265625,399.5909729003906,307.39666748046875
2022-08-04,163.58554077148438,278.2523193359375,399.3210144042969,308.6333312988281
2022-08-05,163.35829162597656,277.5263671875,398.64605712890625,288.1700134277344
2022-08-08,162.8840789794922,274.9856872558594,398.18328857421875,290.42333984375
2022-08-09,162.93348693847656,276.9279479980469,396.6021423339844,283.3333435058594
2022-08-10,167.20143127441406,283.6574401855469,404.9323425292969,294.3566589355469
2022-08-11,166.4604949951172,281.5581970214844,404.9323425292969,286.6300048828125
2022-08-12,170.02699279785156,286.3551330566406,411.78741455078125,300.0299987792969
2022-08-15,171.10386657714844,287.8854675292969,413.4842834472656,309.32000732421875
2022-08-16,170.94578552246094,287.1399230957031,414.294189453125,306.5633239746094
2022-08-17,172.4474639892578,286.3829650878906,411.3535461425781,303.9966735839844
2022-08-18,172.0522918701172,285.25244140625,412.54913330078125,302.8699951171875
2022-08-19,169.4539794921875,281.3005065917969,407.0052185058594,296.6666564941406
2022-08-22,165.5515594482422,273.0428771972656,398.5303649902344,289.913330078125
2022-08-23,165.21566772460938,271.7550964355469,397.5662536621094,296.4533386230469
2022-08-24,165.51202392578125,271.11614990234375,398.83892822265625,297.0966796875
2022-08-25,167.98193359375,274.124267578125,404.46954345703125,296.07000732421875
2022-08-26,161.64913940429688,263.5466003417969,390.7786560058594,288.0899963378906
2022-08-29,159.4361114501953,260.735107421875,388.1947326660156,284.82000732421875
2022-08-30,156.99586486816406,258.5133972167969,383.9331970214844,277.70001220703125
2022-08-31,155.32623291015625,257.0387878417969,381.0118408203125,275.6099853515625
2022-09-01,156.05734252929688,255.9869384765625,382.2073974609375,277.1600036621094
2022-09-02,153.93321228027344,251.72048950195312,378.17718505859375,270.2099914550781
2022-09-06,152.6686248779297,248.9581298828125,376.7502746582031,274.4200134277344
2022-09-07,154.08140563964844,253.716064453125,383.5185852050781,283.70001220703125
